wl,n
0.565,2.74782
0.566,2.74674
0.567,2.74563
0.568,2.74450
0.569,2.74336
0.570,2.74220
0.571,2.74102
0.572,2.73982
0.573,2.73861
0.574,2.73738
0.575,2.73613
0.576,2.73487
0.577,2.73359
0.578,2.73230
0.579,2.73099
0.580,2.72967
0.581,2.72834
0.582,2.72699
0.583,2.72562
0.584,2.72425
0.585,2.72286
0.586,2.72146
0.587,2.72005
0.588,2.71863
0.589,2.71720
0.590,2.71575
0.591,2.71430
0.592,2.71284
0.593,2.71137
0.594,2.70989
0.595,2.70840
0.596,2.70691
0.597,2.70541
0.598,2.70390
0.599,2.70239
0.600,2.70087
0.601,2.69934
0.602,2.69781
0.603,2.69628
0.604,2.69475
0.605,2.69321
0.606,2.69167
0.607,2.69012
0.608,2.68858
0.609,2.68704
0.610,2.68549
0.611,2.68395
0.612,2.68241
0.613,2.68086
0.614,2.67933
0.615,2.67779
0.616,2.67626
0.617,2.67473
0.618,2.67321
0.619,2.67170
0.620,2.67019
0.621,2.66869
0.622,2.66720
0.623,2.66572
0.624,2.66425
0.625,2.66280
0.626,2.66136
0.627,2.65993
0.628,2.65851
0.629,2.65711
0.630,2.65572
0.631,2.65434
0.632,2.65298
0.633,2.65164
0.634,2.65031
0.635,2.64900
0.636,2.64770
0.637,2.64642
0.638,2.64516
0.639,2.64391
0.640,2.64268
0.641,2.64146
0.642,2.64027
0.643,2.63909
0.644,2.63792
0.645,2.63678
0.646,2.63565
0.647,2.63454
0.648,2.63344
0.649,2.63237
0.650,2.63131
0.651,2.63027
0.652,2.62924
0.653,2.62823
0.654,2.62725
0.655,2.62627
0.656,2.62532
0.657,2.62438
0.658,2.62347
0.659,2.62257
0.660,2.62168
0.661,2.62082
0.662,2.61997
0.663,2.61914
0.664,2.61832
0.665,2.61753
0.666,2.61675
0.667,2.61598
0.668,2.61524
0.669,2.61451
0.670,2.61380
0.671,2.61310
0.672,2.61242
0.673,2.61176
0.674,2.61112
0.675,2.61049
0.676,2.60988
0.677,2.60928
0.678,2.60870
0.679,2.60814
0.680,2.60759
0.681,2.60706
0.682,2.60654
0.683,2.60604
0.684,2.60556
0.685,2.60509
0.686,2.60463
0.687,2.60419
0.688,2.60377
0.689,2.60336
0.690,2.60296
0.691,2.60258
0.692,2.60222
0.693,2.60186
0.694,2.60153
0.695,2.60120
0.696,2.60089
0.697,2.60059
0.698,2.60031
0.699,2.60004
0.700,2.59978
0.701,2.59954
0.702,2.59931
0.703,2.59909
0.704,2.59888
0.705,2.59869
0.706,2.59851
0.707,2.59834
0.708,2.59818
0.709,2.59803
0.710,2.59790
0.711,2.59777
0.712,2.59766
0.713,2.59756
0.714,2.59747
0.715,2.59739
0.716,2.59732
0.717,2.59726
0.718,2.59721
0.719,2.59717
0.720,2.59714
0.721,2.59712
0.722,2.59711
0.723,2.59711
0.724,2.59712
0.725,2.59713
0.726,2.59716
0.727,2.59719
0.728,2.59723
0.729,2.59727
0.730,2.59733
0.731,2.59739
0.732,2.59746
0.733,2.59754
0.734,2.59762
0.735,2.59771
0.736,2.59780
0.737,2.59790
0.738,2.59800
0.739,2.59811
0.740,2.59823
0.741,2.59835
0.742,2.59848
0.743,2.59861
0.744,2.59874
0.745,2.59888
0.746,2.59903
0.747,2.59917
0.748,2.59933
0.749,2.59949
0.750,2.59965
0.751,2.59981
0.752,2.59998
0.753,2.60016
0.754,2.60034
0.755,2.60052
0.756,2.60070
0.757,2.60089
0.758,2.60108
0.759,2.60128
0.760,2.60148
0.761,2.60168
0.762,2.60189
0.763,2.60209
0.764,2.60231
0.765,2.60252
0.766,2.60274
0.767,2.60296
0.768,2.60319
0.769,2.60341
0.770,2.60364
0.771,2.60387
0.772,2.60411
0.773,2.60435
0.774,2.60459
0.775,2.60483
0.776,2.60508
0.777,2.60533
0.778,2.60558
0.779,2.60583
0.780,2.60608
0.781,2.60634
0.782,2.60660
0.783,2.60686
0.784,2.60713
0.785,2.60740
0.786,2.60766
0.787,2.60794
0.788,2.60821
0.789,2.60848
0.790,2.60876
0.791,2.60904
0.792,2.60932
0.793,2.60961
0.794,2.60989
0.795,2.61018
0.796,2.61047
0.797,2.61076
0.798,2.61105
0.799,2.61135
0.800,2.61164
0.801,2.61194
0.802,2.61224
0.803,2.61254
0.804,2.61285
0.805,2.61315
0.806,2.61346
0.807,2.61377
0.808,2.61408
0.809,2.61439
0.810,2.61470
0.811,2.61502
0.812,2.61534
0.813,2.61565
0.814,2.61597
0.815,2.61630
0.816,2.61662
0.817,2.61694
0.818,2.61727
0.819,2.61760
0.820,2.61792
0.821,2.61825
0.822,2.61859
0.823,2.61892
0.824,2.61925
0.825,2.61959
0.826,2.61993
0.827,2.62027
0.828,2.62061
0.829,2.62095
0.830,2.62129
0.831,2.62163
0.832,2.62198
0.833,2.62233
0.834,2.62267
0.835,2.62302
0.836,2.62337
0.837,2.62373
0.838,2.62408
0.839,2.62443
0.840,2.62479
0.841,2.62515
0.842,2.62551
0.843,2.62587
0.844,2.62623
0.845,2.62659
0.846,2.62695
0.847,2.62732
0.848,2.62768
0.849,2.62805
0.850,2.62842
0.851,2.62879
0.852,2.62916
0.853,2.62953
0.854,2.62991
0.855,2.63028
0.856,2.63066
0.857,2.63104
0.858,2.63142
0.859,2.63180
0.860,2.63218
0.861,2.63256
0.862,2.63294
0.863,2.63333
0.864,2.63371
0.865,2.63410
0.866,2.63449
0.867,2.63488
0.868,2.63527
0.869,2.63567
0.870,2.63606
0.871,2.63645
0.872,2.63685
0.873,2.63725
0.874,2.63765
0.875,2.63805
0.876,2.63845
0.877,2.63885
0.878,2.63926
0.879,2.63966
0.880,2.64007
0.881,2.64048
0.882,2.64089
0.883,2.64130
0.884,2.64171
0.885,2.64213
0.886,2.64254
0.887,2.64296
0.888,2.64338
0.889,2.64380
0.890,2.64422
0.891,2.64465
0.892,2.64507
0.893,2.64550
0.894,2.64593
0.895,2.64636
0.896,2.64679
0.897,2.64723
0.898,2.64766
0.899,2.64810
0.900,2.64854
0.901,2.64898
0.902,2.64942
0.903,2.64986
0.904,2.65031
0.905,2.65076
0.906,2.65121
0.907,2.65165
0.908,2.65211
0.909,2.65256
0.910,2.65302
0.911,2.65347
0.912,2.65393
0.913,2.65439
0.914,2.65485
0.915,2.65532
0.916,2.65578
0.917,2.65625
0.918,2.65672
0.919,2.65718
0.920,2.65765
0.921,2.65813
0.922,2.65860
0.923,2.65908
0.924,2.65955
0.925,2.66003
0.926,2.66051
0.927,2.66099
0.928,2.66147
0.929,2.66196
0.930,2.66244
0.931,2.66293
0.932,2.66342
0.933,2.66390
0.934,2.66440
0.935,2.66489
0.936,2.66538
0.937,2.66587
0.938,2.66637
0.939,2.66687
0.940,2.66736
0.941,2.66786
0.942,2.66836
0.943,2.66886
0.944,2.66936
0.945,2.66987
0.946,2.67037
0.947,2.67088
0.948,2.67138
0.949,2.67189
0.950,2.67240
0.951,2.67291
0.952,2.67342
0.953,2.67393
0.954,2.67445
0.955,2.67496
0.956,2.67548
0.957,2.67599
0.958,2.67651
0.959,2.67703
0.960,2.67754
0.961,2.67806
0.962,2.67858
0.963,2.67910
0.964,2.67963
0.965,2.68015
0.966,2.68067
0.967,2.68120
0.968,2.68172
0.969,2.68225
0.970,2.68277
